,T1,T2,T3,result
0,11.15,10.77,,
1,10.75,9.57,10.0,10.84
2,9.0,8.0,6.0,13.0
3,9.0,8.0,9.0,10.0
4,15.5,16.07,16.11,15.0
5,10.0,10.0,10.0,10.11
6,9.81,9.48,10.22,11.03
7,11.17,10.21,10.08,11.83
8,10.3,9.5,9.0,10.24
9,10.02,9.46,10.6,11.99
10,11.16,10.06,10.08,11.48
11,11.58,11.3,11.85,12.09
12,10.13,9.98,10.05,10.31
13,10.93,10.95,10.37,10.84
14,10.58,10.03,10.65,11.3
15,11.59,9.36,10.0,11.23
16,11.71,10.98,11.11,12.6
17,11.8,10.14,11.5,12.37
18,10.78,10.76,9.85,10.48
19,8.0,8.0,9.0,10.4
20,8.82,10.15,,11.94
21,12.06,9.4,10.05,10.47
22,9.0,10.01,10.23,11.65
23,10.24,10.09,10.89,11.66
24,12.2,11.09,11.05,11.69
25,12.55,12.3,12.54,12.33
26,14.3,14.5,15.06,13.61
27,16.15,15.76,15.38,14.59
28,13.53,13.82,13.92,13.8
29,13.88,12.73,12.6,14.9
30,12.63,11.78,11.43,12.94
31,10.81,10.31,11.01,11.22
32,11.84,9.58,12.17,12.01
33,12.37,12.97,12.13,12.87
34,9.97,10.0,11.0,11.99
35,7.7,9.18,,10.7
36,14.34,13.24,13.82,13.82
37,10.3,10.45,10.23,11.47
38,15.32,14.53,15.45,15.81
39,16.0,15.28,15.83,15.67
40,12.09,11.9,13.15,12.75
41,15.82,15.26,16.32,14.98
42,17.99,17.79,17.38,17.11
43,10.0,9.48,9.95,12.0
44,13.0,15.0,14.0,13.2
45,8.0,9.0,,10.6
46,8.0,8.0,9.0,11.0
47,9.0,10.0,,12.0
48,11.45,11.42,,10.72
49,16.27,16.43,17.01,16.48
50,12.72,11.55,11.35,12.14
51,12.65,11.4,11.2,10.05
52,11.2,10.56,11.02,10.58
53,11.19,10.73,11.03,11.79
54,11.46,10.23,11.08,10.59
55,11.11,10.23,,
56,9.0,8.0,9.0,10.25
57,10.4,11.44,11.5,10.05
58,10.0,9.0,10.0,10.05
59,11.0,10.0,10.0,10.0
60,10.25,11.03,10.85,11.01
61,9.0,8.0,9.0,10.0
62,12.22,10.4,9.9,10.72
63,12.27,11.64,,9.06
64,14.0,14.0,14.0,13.0
65,11.0,9.73,10.55,10.64
66,13.37,15.64,15.06,12.54
